Season,Seed,TeamID
2026,W01,1181
2026,W02,1110
2026,W03,1104
2026,W04,1458
2026,W05,1112
2026,W06,1332
2026,W07,1388
2026,W08,1140
2026,W09,1280
2026,W10,1124
2026,W11,1435
2026,W12,1433
2026,W13,1103
2026,W14,1251
2026,W15,1285
2026,W16,1352
2026,X01,1222
2026,X02,1397
2026,X03,1228
2026,X04,1345
2026,X05,1246
2026,X06,1155
2026,X07,1417
2026,X08,1188
2026,X09,1208
2026,X10,1211
2026,X11,1429
2026,X12,1400
2026,X13,1219
2026,X14,1270
2026,X15,1407
2026,X16,1459
2026,Y01,1120
2026,Y02,1277
2026,Y03,1401
2026,Y04,1166
2026,Y05,1235
2026,Y06,1266
2026,Y07,1276
2026,Y08,1279
2026,Y09,1257
2026,Y10,1471
2026,Y11,1307
2026,Y12,1314
2026,Y13,1463
2026,Y14,1106
2026,Y15,1136
2026,Y16,1252
2026,Z01,1268
2026,Z02,1196
2026,Z03,1385
2026,Z04,1403
2026,Z05,1272
2026,Z06,1281
2026,Z07,1242
2026,Z08,1163
2026,Z09,1328
2026,Z10,1116
2026,Z11,1313
2026,Z12,1179
2026,Z13,1161
2026,Z14,1423
2026,Z15,1213
2026,Z16,1303
